meta_id;data_type;curve_name;instance_tag;date_from;date_to;destination_table;schedule;name
1;time_series;DE Wind Power Production MWh/h 15min Actual;;-2800;2800;eq_ts_production;17 * * * *;de_wind_production_actual
2;time_series;DE Wind Power Production Onshore MWh/h 15min Actual;;-2800;2800;eq_ts_production;17 * * * *;de_wind_onshore_production_actual
3;time_series;DE Wind Power Production Offshore MWh/h 15min Actual;;-2800;2800;eq_ts_production;17 * * * *;de_wind_offshore_production_actual
4;time_series;DE Solar Photovoltaic Production MWh/h 15min Actual;;-2800;2800;eq_ts_production;17 * * * *;de_solar_production_actual
5;time_series;DE Natural Gas Power Production MWh/h 15min Actual;;-2800;2800;eq_ts_production;17 * * * *;de_natural_gas_production_actual
6;time_series;DE Hard Coal Power Production MWh/h 15min Actual;;-2800;2800;eq_ts_production;17 * * * *;de_hard_coal_production_actual
7;time_series;DE Lignite Power Production MWh/h 15min Actual;;-2800;2800;eq_ts_production;18 * * * *;de_lignite_production_actual
8;time_series;DE Biomass Power Production MWh/h 15min Actual;;-2800;2800;eq_ts_production;18 * * * *;de_biomass_production_actual
9;time_series;DE Hydro Pumped-storage Production MWh/h 15min Actual;;-2800;2800;eq_ts_production;18 * * * *;de_hydro_pumped_storage_production_actual
10;time_series;DE Hydro Run-of-river Production MWh/h 15min Actual;;-2800;2800;eq_ts_production;18 * * * *;de_hydro_run_of_river_production_actual
11;time_series;DE Consumption MWh/h 15min Actual;;-2800;2800;eq_ts_consumption;18 * * * *;de_consumption_actual
12;time_series;DE Price Imbalance Single EUR/MWh 15min Backcast;;-28000;2800;eq_ts_price;1 0 * * *;de_price_imbalance_single_backcast
13;time_series;DE Price Imbalance Single Final EUR/MWh 15min Actual;;-280000;2800;eq_ts_price;1 0 * * *;de_price_imbalance_single_final_actual
14;time_series;DE Price Spot EUR/MWh EPEX H Actual;;-2800;2800;eq_ts_price;0,15,30 16,17 * * *;de_price_spot_actual
15;time_series;DE Price Intraday VWAP ID1 EUR/MWh EPEX 15min Actual;;-2800;2800;eq_ts_price;0,15,30,45 * * * *;de_price_intraday_vwap_id1_15_min_actual
16;time_series;DE Price Intraday VWAP ID1 EUR/MWh EPEX H Actual;;-2800;2800;eq_ts_price;55 0,1 * * *;de_price_intraday_vwap_id1_hourly_actual
17;time_series;DE Price Intraday VWAP ID3 EUR/MWh EPEX 15min Actual;;-2800;2800;eq_ts_price;0,15,30,45 * * * *;de_price_intraday_vwap_id3_15_min_actual
18;time_series;DE Price Intraday VWAP ID3 EUR/MWh EPEX H Actual;;-2800;2800;eq_ts_price;55 0,1 * * *;de_price_intraday_vwap_id3_hourly_actual
19;time_series;DE Price Intraday VWAP EUR/MWh EPEX H Actual;;-2800;2800;eq_ts_price;55 0,1 * * *;de_price_intraday_vwap_hourly_actual
20;time_series;DE Price Intraday VWAP EUR/MWh EPEX 15min Actual;;-2800;2800;eq_ts_price;55 0,1 * * *;de_price_intraday_vwap_15_min_actual
21;time_series;DE Volume Intraday Auction IDA1 MWh EPEX 15min Actual;;-2800;2800;eq_ts_volume;55 0,1 * * *;de_volume_intraday_auction_ida1_actual
22;time_series;DE Volume Spot MWh EPEX H Actual;;-2800;2800;eq_ts_volume;55 0,1 * * *;de_volume_spot_actual
23;time_series;DE Volume Imbalance Net MWh 15min Actual;;-2800;2800;eq_ts_volume;0 18 * * *;de_volume_imbalance_net_actual
24;time_series;NL Price Spot EUR/MWh EPEX H Actual;;-2800;2800;eq_ts_price;0 18 * * *;nl_price_spot_actual
25;time_series;AT Price Spot EUR/MWh EPEX H Actual;;-2800;2800;eq_ts_price;0,15,30,45 * * * *;at_price_spot_actual
26;time_series;BE Price Spot EUR/MWh EPEX H Actual;;-2800;2800;eq_ts_price;0,30 14,15 * * *;be_price_spot_actual
27;time_series;FR Price Spot EUR/MWh EPEX H Actual;;-2800;2800;eq_ts_price;0 18 * * *;fr_price_spot_actual
28;instance_series;DE Consumption MWh/h 15min Forecast;ecsr;;;eq_ins_consumption;3 */6 * * *;de_consumption_ecsr_forecast
29;instance_series;DE Consumption MWh/h 15min Forecast;ec;;;eq_ins_consumption;3 */6 * * *;de_consumption_ec_forecast
30;instance_series;DE Consumption MWh/h 15min Forecast;iconsr;;;eq_ins_consumption;3 */6 * * *;de_consumption_iconsr_forecast
